id,city,type,squareMeters,Size of Apartment,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
69aa1633ba49535a2b4655b7ce6b6635,katowice,apartmentBuilding,62,Big,3,2,6,2023,50.24428391,19.02954365,1.82,8,0.506,0.369,0.419,0.498,0.323,1.072,0.47,condominium,brick,premium,yes,yes,yes,yes,no,3300
30dfe27af5efb7266d2fb3ede92addfe,warszawa,apartmentBuilding,62,Big,2,5,5,2023,52.2640965,21.0427622,4.48,13,0.147,0.743,0.399,0.266,0.305,0.883,0.24,condominium,brick,,yes,yes,yes,yes,no,8000
ed066398dc97900024533de5bd487ba1,warszawa,apartmentBuilding,62,Big,2,5,5,2023,52.26292,21.0441,4.43,17,0.189,0.8,0.43,0.273,0.146,0.879,0.37,condominium,brick,,no,yes,yes,yes,no,8000
cdd36f3ebf33277de76c41ac5890a790,warszawa,apartmentBuilding,62,Big,3,,7,2023,52.2809,20.9851,5.61,2,0.567,1.118,0.559,0.494,0.297,1.357,0.653,condominium,brick,,yes,yes,yes,no,no,7000
8480ef0f8a3dd6748fd22c9b50c26b8a,warszawa,,62,Big,3,2,23,2023,52.2274724,20.9557458,3.29,14,0.202,0.13,0.59,0.111,0.157,0.705,0.14,condominium,,premium,yes,yes,yes,no,no,6200
540b4454fc378990d8eaaea0500958c0,warszawa,apartmentBuilding,62,Big,3,10,16,2023,52.23522,20.99436,0.74,88,0.081,0.054,0.267,0.109,0.123,0.74,0.061,condominium,brick,,no,no,yes,no,no,7900
e996963e137fc3cbe2fb4158e0b1cb44,warszawa,blockOfFlats,62,Big,3,4,4,2022,52.19534774,20.90024989,8.12,20,0.125,2.618,0.387,0.25,0.188,4.576,0.194,condominium,brick,,yes,no,yes,yes,yes,4500
fa5f23ca9c6b28c503cb77691c35fc05,wroclaw,blockOfFlats,62,Big,3,4,7,2021,51.0983729,17.0443582,1.71,21,0.465,0.278,0.387,0.308,0.275,0.429,0.241,condominium,,premium,yes,yes,yes,no,no,3550
db1ae83c19c5944fd73fbf5679385e9e,warszawa,apartmentBuilding,62,Big,3,5,5,2021,52.20658,20.93737,5.3,4,1.016,0.479,1.189,0.293,0.454,2.201,0.766,condominium,brick,,no,no,yes,no,no,5500
992fbe974c89a09732ed9ed62f36cb08,szczecin,blockOfFlats,62,Big,3,2,4,2020,53.42845706,14.48204039,5.26,3,0.852,0.865,0.357,0.812,0.755,3.393,0.137,condominium,,premium,yes,yes,no,no,no,3500
7f749e43b6357cbf2db106e0081db485,gdynia,apartmentBuilding,62,Big,2,,,2020,54.5213882,18.5393982,0.04,64,0.203,1.122,0.075,0.178,0.031,0.401,0.092,condominium,brick,premium,no,no,yes,no,no,4200
4f4d47bf373b6cf7a36370d579002c5b,gdansk,apartmentBuilding,62,Big,3,,,2020,54.416667,18.583333,8.79,17,0.286,0.491,0.269,0.411,0.163,0.749,0.344,condominium,brick,premium,yes,yes,yes,yes,yes,5000
9e42753d52a2328181c767b020dceeff,bydgoszcz,,62,Big,3,6,10,2020,53.12659,18.05133,3.41,20,0.414,0.621,0.219,0.109,0.189,0.762,0.078,condominium,,,yes,no,yes,no,no,3400
